date,sock_count,chin_count,chum_count
6/5/2015,28,346,259
6/6/2015,68,475,366
6/7/2015,5,787,832
6/8/2015,115,724,979
6/9/2015,195,769,974
6/10/2015,643,"2,079","2,960"
6/11/2015,512,751,"1,834"
6/12/2015,959,"1,419","2,728"
6/13/2015,"3,288","3,444","6,089"
6/14/2015,"3,128","2,070","6,250"
6/15/2015,"3,541",805,"1,570"
6/16/2015,"2,979",463,788
6/17/2015,"3,556",833,370
6/18/2015,"3,902",365,"1,235"
6/19/2015,"8,218",401,"1,330"
6/20/2015,"22,248","4,274","12,621"
6/21/2015,"47,907","8,895","4,909"
6/22/2015,"21,729","1,861","3,116"
6/23/2015,"23,112","4,579","6,781"
6/24/2015,"25,645","3,727","7,669"
6/25/2015,"32,225","6,058","12,854"
6/26/2015,"13,164","2,908","6,262"
6/27/2015,"18,975","9,427","12,776"
6/28/2015,"37,621","6,781","11,632"
6/29/2015,"26,475","2,777","10,972"
6/30/2015,"22,523","3,006","7,651"
7/1/2015,"21,598","1,258","7,402"
7/2/2015,"13,571","1,654","6,319"
7/3/2015,"16,387","1,822","7,789"
7/4/2015,"16,741","2,193","8,640"
7/5/2015,"13,308","2,444","11,597"
7/6/2015,"25,064","2,033","3,743"
7/7/2015,"30,592","2,918","5,892"
7/8/2015,"44,738","3,340","9,822"
7/9/2015,"23,194","1,247","5,655"
7/10/2015,"22,380","1,227","10,598"
7/11/2015,"11,970","1,477","21,433"
7/12/2015,"26,707",816,"13,175"
7/13/2015,"35,357","1,441","8,533"
7/14/2015,"45,670","1,190","11,955"
7/15/2015,"30,206",419,"6,232"
7/16/2015,"21,148",524,"7,345"
7/17/2015,"28,760",495,"4,658"
7/18/2015,"46,532","1,499","12,337"
